广东频道,#genre#
CCTV-2,http://183.184.60.128:8082/rtp/226.0.1.158:3087$1920x1080
CCTV-2,http://171.118.121.137:8082/rtp/226.0.1.158:3087$1920x1080
CCTV-3,http://36.46.99.177:8013/rtp/239.112.205.221:5140$1920x1080
CCTV-3,http://113.128.128.46:8688/rtp/239.21.2.45:5002$1920x1080
CCTV-3,http://222.130.82.155:4022/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://183.191.210.6:8082/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://27.10.74.112:8005/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://27.11.48.117:8008/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://222.71.139.116:8001/rtp/239.45.1.68:5140$1920x1080
CCTV-3,http://222.71.139.118:8001/rtp/239.45.1.68:5140$1920x1080
CCTV-3,http://221.205.61.119:8083/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://180.121.98.89:8181/rtp/239.49.8.74:8000$1920x1080
CCTV-3,http://27.11.48.117:8005/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://183.185.228.5:8084/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://183.184.60.128:8082/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://1.203.110.192:17777/rtp/225.1.8.88:8000$1920x1080
CCTV-3,http://27.10.74.150:8005/rtp/225.0.4.142:7980$1920x1080
CCTV-4,http://222.71.139.116:8001/rtp/239.45.0.2:5140$1920x1080
CCTV-4,http://180.121.98.89:8181/rtp/239.49.8.51:9806$1920x1080
CCTV-4,http://114.254.80.64:2222/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://180.140.153.247:5432/rtp/239.81.0.96:4056$1920x1080
CCTV-4,http://27.9.91.108:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://218.64.60.38:8888/rtp/239.252.220.184:5140$1920x1080
CCTV-4,http://180.142.178.242:8138/rtp/239.81.0.96:4056$1920x1080
CCTV-4,http://114.254.83.238:2222/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://123.114.19.80:4000/rtp/239.3.1.105:8092$1920x1080
CCTV-4,http://27.10.74.150:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.11.61.36:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.10.74.150:8005/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.11.48.117:8008/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.11.48.117:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://218.64.60.38:8888/rtp/239.252.219.192:5140$1920x1080
CCTV-5,http://36.46.99.177:8008/rtp/239.112.205.222:5140$1920x1080
CCTV-5,http://36.46.99.177:8022/rtp/239.112.205.222:5140$1920x1080
CCTV-5,http://171.118.211.49:8084/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://221.205.61.119:8083/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://60.220.167.219:8084/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://114.254.83.238:2222/rtp/239.3.1.173:8001$1920x1080
CCTV-5,http://222.130.82.155:4022/rtp/239.3.1.173:8001$1920x1080
CCTV-5,http://180.140.153.247:5432/rtp/239.81.0.232:4056$1920x1080
CCTV-5,http://183.164.59.71:8888/rtp/238.1.78.171:7240$1920x1080
CCTV-5,http://183.191.210.6:8082/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://115.171.80.17:8888/rtp/225.1.8.89:8000$1920x1080
CCTV-5,http://27.10.74.150:8002/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://183.185.228.5:8084/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://1.203.110.192:17777/rtp/225.1.8.89:8000$1920x1080
CCTV-5,http://218.64.60.38:8888/rtp/239.252.219.198:5140$1920x1080
CCTV-5+,http://183.184.60.128:8085/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://221.205.61.119:8084/rtp/226.0.1.172:3096$1920x1080
CCTV-5+,http://119.98.71.95:8888/rtp/239.254.96.234:9484$1920x1080
CCTV-5+,http://59.172.145.8:10000/rtp/239.254.96.234:9484$1920x1080
CCTV-5+,http://180.140.153.247:5432/rtp/239.81.0.101:4056$1920x1080
