Name: CCTV-15, URL: http://111.175.164.168:8888/rtp/239.69.1.155:10566$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: CCTV-16, URL: http://113.83.248.110:4200/rtp/239.77.1.98:5146$3840x2160, Date: None, Resolution: 3840x2160, Response Time: 29 ms
Name: CCTV-17, URL: http://113.83.248.110:4200/rtp/239.77.0.198:5146, Date: None, Resolution: None, Response Time: 0 ms
Name: 广东卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.13:9422$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 浙江卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.116:8678$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 287 ms
Name: 浙江卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.20:9618$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 367 ms
Name: 浙江卫视, URL: http://49.83.250.201:10001/rtp/239.49.8.20:9618$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 湖南卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.114:8666$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 268 ms
Name: 湖南卫视, URL: http://49.83.250.201:10001/rtp/239.49.8.12:9418$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 369 ms
Name: 北京卫视, URL: http://111.175.164.168:8888/rtp/239.254.96.141:8920$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 193 ms
Name: 北京卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.117:8684$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 294 ms
Name: 北京卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.11:9414$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 347 ms
Name: 北京卫视, URL: http://49.83.250.201:10001/rtp/239.49.8.11:9414$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 349 ms
Name: 湖北卫视, URL: http://113.83.248.110:4200/rtp/239.77.1.93:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 65 ms
Name: 黑龙江卫视, URL: http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$720x576, Date: None, Resolution: 720x576, Response Time: 375 ms
Name: 安徽卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.161:8950$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188 ms
Name: 重庆卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.36:8190$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 306 ms
Name: 东方卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.98:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 55 ms
Name: 东方卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.109:8636$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 301 ms
Name: 东方卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.17:9606$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 351 ms
Name: 甘肃卫视, URL: http://113.83.248.110:4200/rtp/239.77.1.57:5146$720x576, Date: None, Resolution: 720x576, Response Time: 272 ms
Name: 广西卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.139:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 81 ms
Name: 广西卫视, URL: http://111.175.164.168:8888/rtp/239.69.1.191:10788$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 252 ms
Name: 广西卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.10:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 352 ms
Name: 广西卫视, URL: http://49.83.250.201:10001/rtp/239.49.8.10:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 355 ms
Name: 贵州卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.230:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 50 ms
Name: 海南卫视, URL: http://111.175.164.168:8888/rtp/239.69.1.151:10542$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 237 ms
Name: 海南卫视, URL: http://180.103.165.67:8888/rtp/239.49.8.83:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 238 ms
Name: 海南卫视, URL: http://180.103.165.76:8888/rtp/239.49.8.83:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 284 ms
Name: 海南卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.83:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 373 ms
Name: 河北卫视, URL: http://111.175.164.168:8888/rtp/239.69.1.157:10578$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 134 ms
Name: 河南卫视, URL: http://180.103.165.67:8888/rtp/239.49.8.29:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 351 ms
Name: 吉林卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.43:8232$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 289 ms
Name: 吉林卫视, URL: https://pulltv1.wanfudaluye.com/live/tv1.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 450 ms
Name: 江苏卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.115:8672$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 290 ms
Name: 江西卫视, URL: http://113.83.248.110:4200/rtp/239.77.1.219:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 27 ms
Name: 江西卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.149:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 37 ms
Name: 江西卫视, URL: http://180.103.165.76:8888/rtp/239.49.8.111:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 367 ms
Name: 辽宁卫视, URL: http://119.98.133.138:4000/rtp/239.69.1.71:10066$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 82 ms
Name: 辽宁卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.163:8962$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 234 ms
Name: 辽宁卫视, URL: http://222.95.92.12:4000/rtp/239.49.8.48:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 373 ms
Name: 辽宁卫视, URL: http://49.83.250.201:10001/rtp/239.49.8.48:8000$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 373 ms
Name: 内蒙古卫视, URL: http://113.83.248.110:4200/rtp/239.77.1.55:5146$720x576, Date: None, Resolution: 720x576, Response Time: 172 ms
Name: 内蒙古卫视, URL: http://14.135.72.70:8888/rtp/239.121.4.57:8316$720x576, Date: None, Resolution: 720x576, Response Time: 356 ms
Name: 宁夏卫视, URL: http://113.83.248.110:4200/rtp/239.77.1.47:5146$720x576, Date: None, Resolution: 720x576, Response Time: 33 ms
Name: 宁夏卫视, URL: http://113.83.248.110:4200/rtp/239.77.0.73:5146$720x576, Date: None, Resolution: 720x576, Response Time: 138 ms
