广东频道,#genre#
CCTV-3,http://117.32.85.85:8020/rtp/239.112.205.221:5140$1920x1080
CCTV-3,http://27.11.250.143:8004/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://117.32.85.4:8025/rtp/239.112.205.221:5140$1920x1080
CCTV-4,http://61.240.37.36:8083/rtp/226.0.1.21:3036$720x576
CCTV-4,http://61.240.37.36:8085/rtp/226.0.1.21:3036$720x576
CCTV-4,http://60.164.128.167:8029/rtp/239.255.30.3:8231$720x576
CCTV-4,http://115.210.135.74:9999/rtp/233.50.201.4:5140$720x576
CCTV-4,http://61.240.38.128:8082/rtp/226.0.1.21:3036$720x576
CCTV-4,http://171.116.157.183:8005/rtp/226.0.1.21:3036$720x576
CCTV-4,http://119.98.99.124:5555/rtp/239.254.96.155:9004$720x576
CCTV-4,http://125.84.50.39:10000/rtp/235.254.198.3:1288$720x576
CCTV-4,http://14.106.80.177:6789/rtp/235.254.198.3:1288$720x576
CCTV-4,http://119.98.37.126:8888/rtp/239.254.96.155:9004$720x576
CCTV-4,http://115.60.241.249:2000/rtp/225.1.4.4:1033$720x576
CCTV-4,http://171.117.183.38:8082/rtp/226.0.1.21:3036$720x576
CCTV-4,http://119.98.133.99:4022/rtp/239.254.96.155:9004$720x576
CCTV-4,http://111.175.166.209:8686/rtp/239.254.96.155:9004$720x576
CCTV-4,http://59.174.96.54:8880/rtp/239.254.96.155:9004$720x576
CCTV-5,http://61.55.46.35:4022/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://61.240.37.36:8083/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://61.240.38.128:8082/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://61.240.38.128:8083/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://60.164.128.167:8029/rtp/239.255.30.199:8231$1920x1080
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$1920x1080
CCTV-5,http://14.135.72.70:8888/rtp/239.121.4.152:8896$1920x1080
CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.159:1195$1920x1080
CCTV-5,http://60.220.167.7:8084/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://117.32.85.85:8020/rtp/239.109.205.80:8576$1920x1080
CCTV-5,http://171.116.226.246:8085/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://60.220.167.223:8083/rtp/226.0.1.135:2020$1920x1080
CCTV-5,http://117.32.85.85:8011/rtp/239.109.205.80:8576$1920x1080
CCTV-5,http://117.32.85.4:8025/rtp/239.112.205.222:5140$1920x1080
CCTV-5,http://117.32.85.85:8012/rtp/239.109.205.80:8576$1920x1080
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$1920x1080
CCTV-5+,http://119.98.99.124:5555/rtp/239.254.96.99:8568$720x576
CCTV-5+,http://111.175.166.209:8686/rtp/239.254.96.99:8568$720x576
CCTV-5+,http://119.98.133.99:4022/rtp/239.254.96.99:8568$720x576
CCTV-5+,http://59.174.96.54:8880/rtp/239.254.96.99:8568$720x576
CCTV-6,http://117.32.85.85:8020/rtp/239.109.205.84:8608$1920x1080
CCTV-6,http://117.32.85.85:8012/rtp/239.109.205.84:8608$1920x1080
CCTV-6,http://116.135.2.207:8083/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://61.240.38.128:8082/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://171.116.226.246:8082/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://171.116.226.246:8085/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://61.55.13.136:4000/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://60.26.2.242:7000/rtp/225.1.1.195:5002$1920x1080
CCTV-6,http://117.32.85.85:8012/rtp/239.112.205.223:5140$1920x1080
CCTV-6,http://60.164.128.167:8029/rtp/239.255.29.14:8231$1920x1080
CCTV-6,http://61.240.38.128:8083/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://117.32.85.85:8025/rtp/239.112.205.223:5140$1920x1080
CCTV-6,http://60.220.167.223:8083/rtp/226.0.1.137:2021$1920x1080
CCTV-6,http://117.32.85.4:8025/rtp/239.109.205.84:8608$1920x1080
CCTV-6,http://61.240.37.36:8083/rtp/226.0.1.137:2021$1920x1080
CCTV-7,http://171.116.157.183:8005/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://111.196.132.49:20000/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://125.84.50.39:10000/rtp/235.254.198.56:1500$1920x1080
CCTV-7,http://171.213.133.12:8889/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://101.81.119.90:8888/rtp/239.45.3.56:5140$1920x1080
CCTV-7,http://60.178.149.113:4022/rtp/233.50.200.24:5140$1920x1080
CCTV-7,http://60.220.167.223:8083/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://61.240.37.36:8085/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://61.240.38.128:8083/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://61.240.37.36:8083/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://183.141.216.56:9999/rtp/233.50.200.24:5140$1920x1080
CCTV-7,http://183.141.216.56:9999/rtp/233.50.201.120:5140$1920x1080
CCTV-7,http://116.135.2.207:8083/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://60.223.72.30:8002/rtp/226.0.1.163:3097$1920x1080
CCTV-7,http://123.117.36.74:4001/rtp/239.3.1.61:8104$1920x1080
CCTV-8,http://118.81.90.68:8082/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://61.240.37.36:8085/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://60.164.128.167:8029/rtp/239.255.29.15:8231$1920x1080
CCTV-8,http://49.86.222.102:8888/rtp/239.49.8.77:8000$1920x1080
CCTV-8,http://61.240.38.128:8083/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://117.32.85.85:8025/rtp/239.109.205.90:8656$1920x1080
CCTV-8,http://60.220.167.223:8083/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://61.55.46.35:4022/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://117.32.85.85:8020/rtp/239.109.205.90:8656$1920x1080
CCTV-8,http://117.32.85.85:8012/rtp/239.109.205.90:8656$1920x1080
CCTV-8,http://61.240.38.128:8082/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://60.220.167.7:8084/rtp/226.0.1.140:2023$1920x1080
CCTV-8,http://123.117.36.74:4001/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://117.32.85.4:8025/rtp/239.109.205.90:8656$1920x1080
CCTV-8,http://117.32.85.85:8025/rtp/239.112.205.224:5140$1920x1080
CCTV-9,http://60.220.167.7:8084/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://60.164.128.167:8029/rtp/239.255.30.180:8231$1920x1080
CCTV-9,http://61.240.37.36:8085/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://60.220.167.223:8083/rtp/226.0.1.165:3093$1920x1080
CCTV-9,http://117.32.85.85:8011/rtp/239.110.205.1:9750$720x576
CCTV-9,http://60.164.128.167:8029/rtp/239.255.30.74:8231$720x576
CCTV-9,http://119.98.99.124:5555/rtp/239.254.96.157:9016$720x576
CCTV-9,http://117.32.85.85:8012/rtp/239.110.205.1:9750$720x576
CCTV-9,http://117.32.85.85:8020/rtp/239.112.205.9:5140$720x576
CCTV-9,http://117.32.85.85:8012/rtp/239.112.205.9:5140$720x576
CCTV-9,http://115.60.241.249:2000/rtp/225.1.4.9:1038$720x576
CCTV-9,http://119.98.133.138:4000/rtp/239.254.96.157:9016$720x576
CCTV-9,http://125.84.50.39:10000/rtp/235.254.198.5:1296$720x576
CCTV-9,http://119.98.133.99:4022/rtp/239.254.96.157:9016$720x576
CCTV-9,http://117.32.85.85:8025/rtp/239.110.205.1:9750$720x576
CCTV-10,http://61.240.38.128:8082/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://60.164.128.167:8029/rtp/239.255.30.181:8231$1920x1080
CCTV-10,http://61.240.38.128:8083/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://61.240.37.36:8085/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://125.109.62.72:9999/rtp/233.50.201.121:5140$1920x1080
CCTV-10,http://49.86.222.102:8888/rtp/239.49.8.54:9818$1920x1080
CCTV-10,http://60.220.167.7:8084/rtp/226.0.1.166:3099$1920x1080
CCTV-10,http://123.117.36.74:4001/rtp/239.3.1.63:8116$1920x1080
CCTV-10,http://114.243.109.163:8822/rtp/239.3.1.63:8116$1920x1080
